LATITUDE,LONGITUDE,"LATITUDE, LONGITUDE",CITY,STATE,CONGRESSIONAL DISTRICT,MEDIAN AGE,MALE MEDIAN AGE,FEMALE MEDIAN AGE,MALE COUNT,MALE COUNT %,FEMALE COUNT,FEMALE COUNT %,TOTAL POPULATION COUNT,TOTAL NON HISPANIC COUNT,TOTAL NON HISPANIC COUNT %,WHITE POP. COUNT,WHITE POP. COUNT %,BLACK POP. COUNT,BLACK POP. COUNT %,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT %,ASIAN POP. COUNT,ASIAN POP. COUNT %,NAT. HAWAIIAN/PAC. ISL. POP. COUNT,NAT. HAWAIIAN/PAC. ISL. POP. COUNT %,WHITE OTHER POP. COUNT,WHITE OTHER POP. COUNT %,HISPANIC/LATINO POP. COUNT,HISPANIC/LATINO POP. COUNT %,WHITE OTHER POP. COUNT MEMO1,WHITE OTHER POP. COUNT MEMO2,WHITE OTHER POP. COUNT MEMO3,WHITE OTHER POP. COUNT MEMO4,WHITE OTHER POP. COUNT MEMO5,WHITE OTHER POP. COUNT MEMO6,WHITE OTHER POP. COUNT MEMO7,WHITE OTHER POP. COUNT MEMO8
37.541,-77.436,"(37.541, -77.436)",Richmond,VA,VA4,29.2,31.1,28.1,1280.0,.6,953.0,0.42700000000000005,2233.0,2101.0,0.941,1298.0,0.618,427.0,0.203,49.0,0.023,193.0,0.092,0.0,0.0,134.0,0.064,132.0,0.1,0.0,0.0,134.0,0.064,0.0,0.0,134.0,1.0
36.099,-78.301,"(36.099, -78.301)",Louisburg,NC,NC2,28.2,20.8,50.2,1373.0,.5,1137.0,0.45299999999999996,2510.0,2424.0,0.966,1420.0,0.586,1004.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.242,-87.335,"(35.242, -87.335)",Lawrenceburg,TN,TN7,32.1,27.6,41.5,1168.0,.6,954.0,0.45,2122.0,1999.0,0.9420000000000001,1727.0,0.8640000000000001,234.0,0.11699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.019000000000000003,123.0,0.1,26.0,0.013000000000000001,12.0,0.006,0.0,0.0,12.0,1.0
34.759,-86.602,"(34.759, -86.602)",Huntsville,AL,AL5,36.9,27.8,44.1,830.0,.5,798.0,0.49,1628.0,1605.0,0.986,262.0,0.163,1321.0,0.823,0.0,0.0,22.0,0.013999999999999999,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.636,-96.609,"(33.636, -96.609)",Sherman,TX,TX4,27.7,30.2,27.3,535.0,.5,539.0,0.502,1074.0,808.0,0.752,639.0,0.7909999999999999,106.0,0.131,13.0,0.016,12.0,0.015,0.0,0.0,38.0,0.047,266.0,0.2,0.0,0.0,38.0,0.047,0.0,0.0,38.0,1.0
38.253,-85.758,"(38.253, -85.758)",Louisville,KY,KY3,36.8,36.4,37.5,1898.0,.7,938.0,0.331,2836.0,2797.0,0.986,1466.0,0.524,1266.0,0.45299999999999996,0.0,0.0,10.0,0.004,0.0,0.0,55.0,0.02,39.0,0.0,0.0,0.0,55.0,0.02,0.0,0.0,55.0,1.0
26.128,-80.233,"(26.128, -80.233)",Plantation,FL,FL23,43.0,44.5,25.9,424.0,.5,495.0,0.539,919.0,728.0,0.792,443.0,0.609,285.0,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.544,-86.212,"(32.544, -86.212)",Wetumpka,AL,AL2,46.6,24.0,46.8,941.0,.4,1190.0,0.5579999999999999,2131.0,2081.0,0.977,759.0,0.365,1322.0,0.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.749,-84.388,"(33.749, -84.388)",Atlanta,GA,GA5,29.8,41.3,22.2,404.0,.5,370.0,0.478,774.0,740.0,0.956,341.0,0.461,344.0,0.465,9.0,0.012,12.0,0.016,0.0,0.0,34.0,0.046,34.0,0.0,0.0,0.0,34.0,0.046,0.0,0.0,34.0,1.0
26.641,-81.872,"(26.641, -81.872)",Fort Myers,FL,FL19,50.1,41.7,50.7,339.0,.4,422.0,0.555,761.0,644.0,0.846,297.0,0.461,340.0,0.528,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.011000000000000001,117.0,0.2,0.0,0.0,7.0,0.011000000000000001,0.0,0.0,7.0,1.0
34.111,-82.867,"(34.111, -82.867)",High Shoals,GA,GA9,35.7,35.4,36.2,383.0,.4,473.0,0.5529999999999999,856.0,804.0,0.9390000000000001,700.0,0.871,69.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.043000000000000003,52.0,0.1,26.0,0.032,9.0,0.011000000000000001,0.0,0.0,9.0,1.0
40.217,-74.743,"(40.217, -74.743)",Trenton,NJ,NJ12,24.8,23.3,30.8,1090.0,.6,685.0,0.386,1775.0,402.0,0.226,148.0,0.368,254.0,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.331,-83.046,"(42.331, -83.046)",Detroit,MI,MI14,32.6,36.1,30.6,429.0,.5,419.0,0.494,848.0,799.0,0.9420000000000001,377.0,0.47200000000000003,271.0,0.33899999999999997,0.0,0.0,135.0,0.16899999999999998,0.0,0.0,16.0,0.02,49.0,0.1,0.0,0.0,16.0,0.02,0.0,0.0,16.0,1.0
40.441,-79.996,"(40.441, -79.996)",Pittsburgh,PA,PA18,0.0,0.0,0.0,14.0,.0,0.0,0.0,14.0,14.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.442,-79.882,"(40.442, -79.882)",Pittsburgh,PA,PA18,60.6,57.8,61.9,88.0,.3,193.0,0.687,281.0,281.0,1.0,43.0,0.153,231.0,0.8220000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.025,0.0,0.0,0.0,0.0,7.0,0.025,0.0,0.0,7.0,1.0
