LATITUDE,LONGITUDE
27.99601861,-82.44503769
35.77669911,-95.25996596
21.3255125,-157.8473055
32.74802142,-97.31305148
33.7629969,-84.4231328
33.66086267,-84.02688527
39.59358263,-105.0152112
33.93814348,-117.3948409
44.05489698,-123.0075562
41.87617136,-80.12459632
35.8209895,-90.6682606
41.68700845,-72.73083927
43.06420322,-87.96724385
33.78935598,-117.820412
37.08506,-88.74422
32.27492783,-90.09470655
33.47524551,-81.72595949
60.79053882,-161.7927517
32.86357277,-117.1281628
26.1223084,-80.1433786
47.12189424,-119.2750699
35.37810374,-87.00610559
27.73907518,-97.43073352
40.826184,-74.20862
35.92681467,-79.03850407
42.32427392,-71.14080012
41.60713735,-81.46902046
47.618456,-117.644099
38.95130818,-84.67066339
42.31319376,-84.01868108
39.69892933,-104.7871863
40.72662266,-73.644712
44.79051074,-106.9599165
35.07997086,-79.03796125
41.2281367,-111.9675317
37.75457839,-122.4424343
42.31269522,-83.21293244
33.47316083,-117.696399
42.19358268,-73.36216339
42.38013875,-76.86724659
35.18322484,-101.8805688
39.08174985,-121.5549539
42.50840203,-83.15387427
41.65589405,-91.53117986
31.07925506,-97.73392317
40.98213277,-74.11264731
33.57145875,-112.0904854
30.33216122,-81.67576993
38.249432,-85.726243
33.13439925,-117.0722528
37.96631812,-121.3018775
30.0687242,-89.93147412
34.1928952,-82.15355508
41.83928045,-87.68818145
42.10648807,-87.74211141
37.38344257,-122.0256185
27.84887061,-82.71058
27.98388983,-80.66662713
47.03740653,-109.4844918
35.66889223,-97.41438792
40.679276,-73.939513
33.7629969,-84.4231328
37.67129418,-97.55070476
32.555556,-117.047656
32.79480596,-96.76631094
34.17622092,-118.5399542
33.83272887,-81.8051584
47.62199575,-122.323646
25.79653943,-80.20840397
36.18931923,-115.3264875
34.05098834,-80.82077527
32.86357277,-117.1281628
33.88404244,-117.92785
34.17622092,-118.5399542
42.08185369,-78.43213922
41.83928045,-87.68818145
30.0687242,-89.93147412
47.67367375,-117.4159843
33.42268696,-111.8163202
30.1988873,-97.84415949
