LEGISLATOR GOVTRACK ID,FIRST NAME,LAST NAME,GENDER,CONGRESSIONAL BRANCH,TERM START DATE,TERM END DATE,STATE,POLITICAL PARTY,STATE DISTRICT,TERM START YEAR,TERM END YEAR,CONGRESSIONAL DISTRICT
A000115,Charles,Allen,M,rep,1849-12-03,1853-03-03,MA,Free Soil,5,1849,1853,MA5
A000243,Charles,Andrews,M,rep,1851-12-01,1853-03-03,ME,Democrat,4,1851,1853,ME4
A000268,John,Appleton,M,rep,1851-12-01,1853-03-03,ME,Democrat,2,1851,1853,ME2
A000343,Thomas,Averett,M,rep,1849-12-03,1853-03-03,VA,Democrat,3,1849,1853,VA3
B000005,Leander,Babcock,M,rep,1851-12-01,1853-03-03,NY,Democrat,23,1851,1853,NY23
B000174,Nelson,Barrere,M,rep,1851-12-01,1853-03-03,OH,Whig,7,1851,1853,OH7
B000209,Thomas,Bartlett,M,rep,1851-12-01,1853-03-03,VT,Democrat,4,1851,1853,VT4
B000266,James,Beale,M,rep,1833-12-02,1853-03-03,VA,Jackson,16,1833,1853,VA16
B000335,Hiram,Bell,M,rep,1851-12-01,1853-03-03,OH,Whig,3,1851,1853,OH3
B000435,Thomas,Bibighaus,M,rep,1851-12-01,1853-03-03,PA,Whig,14,1851,1853,PA14
B000694,Richard,Bowie,M,rep,1849-12-03,1853-03-03,MD,Whig,1,1849,1853,MD1
B000707,Obadiah,Bowne,M,rep,1851-12-01,1853-03-03,NY,Whig,2,1851,1853,NY2
B000718,John,Boyd,M,rep,1851-12-01,1853-03-03,NY,Whig,14,1851,1853,NY14
B000758,John,Bragg,M,rep,1851-12-01,1853-03-03,AL,Democrat,1,1851,1853,AL1
B000861,Richard,Brodhead,M,rep,1843-12-04,1857-03-03,PA,Democrat,10,1843,1857,PA10
B000920,George,Brown,M,rep,1851-12-01,1853-03-03,NJ,Whig,4,1851,1853,NJ4
B001038,Alexander,Buell,M,rep,1851-12-01,1853-03-03,NY,Democrat,17,1851,1853,NY17
B001143,Lorenzo,Burrows,M,rep,1849-12-03,1853-03-03,NY,Whig,34,1849,1853,NY34
B001145,Armistead,Burt,M,rep,1843-12-04,1853-03-03,SC,Democrat,5,1843,1853,SC5
B001162,George,Busby,M,rep,1851-12-01,1853-03-03,OH,Democrat,11,1851,1853,OH11
C000003,Edward,Cabell,M,rep,1845-12-01,1853-03-03,FL,Whig,1,1845,1853,FL1
C000008,Joseph,Cable,M,rep,1849-12-03,1853-03-03,OH,Democrat,17,1849,1853,OH17
C000037,Joseph,Caldwell,M,rep,1849-12-03,1853-03-03,NC,Whig,2,1849,1853,NC2
C000102,Thompson,Campbell,M,rep,1851-12-01,1853-03-03,IL,Democrat,6,1851,1853,IL6
C000206,David,Cartter,M,rep,1849-12-03,1853-03-03,OH,Democrat,18,1849,1853,OH18
C000310,Charles,Chapman,M,rep,1851-12-01,1853-03-03,CT,Whig,1,1851,1853,CT1
C000445,Lincoln,Clark,M,rep,1851-12-01,1853-03-03,IA,Democrat,2,1851,1853,IA2
C000511,Chauncey,Cleveland,M,rep,1849-12-03,1853-03-03,CT,Democrat,3,1849,1853,CT3
C000603,William,Colcock,M,rep,1849-12-03,1853-03-03,SC,Democrat,7,1849,1853,SC7
C000677,James,Conger,M,rep,1851-12-01,1853-03-03,MI,Whig,3,1851,1853,MI3
C000800,Joseph,Cottman,M,rep,1851-12-01,1853-03-03,MD,Ind. Whig,6,1851,1853,MD6
D000034,John,Daniel,M,rep,1841-05-31,1853-03-03,NC,Democrat,2,1841,1853,NC2
D000049,John,Darby,M,rep,1851-12-01,1853-03-03,MO,Whig,1,1851,1853,MO1
D000101,George,Davis,M,rep,1851-12-01,1853-03-03,MA,Whig,6,1851,1853,MA6
D000350,Milo,Dimmick,M,rep,1849-12-03,1853-03-03,PA,Democrat,10,1849,1853,PA10
D000385,Alfred,Dockery,M,rep,1845-12-01,1853-03-03,NC,Whig,4,1845,1853,NC4
D000396,Henry,Dodge,M,rep,1841-05-31,1857-03-03,WI,Democrat,-1,1841,1857,WI-1
D000443,James,Doty,M,rep,1837-09-04,1853-03-03,WI,Democrat,-1,1837,1853,WI-1
D000532,James,Duncan,M,rep,1849-12-03,1853-03-03,MA,Whig,3,1849,1853,MA3
E000231,Alexander,Evans,M,rep,1847-12-06,1853-03-03,MD,Whig,5,1847,1853,MD5
F000050,Francis,Fay,M,rep,1851-12-01,1853-03-03,MA,Whig,2,1851,1853,MA2
F000101,Orlando,Ficklin,M,rep,1843-12-04,1853-03-03,IL,Democrat,3,1843,1853,IL3
F000140,Hamilton,Fish,M,rep,1843-12-04,1857-03-03,NY,Whig,6,1843,1857,NY6
F000223,John,Floyd,M,rep,1839-12-02,1853-03-03,NY,Democrat,17,1839,1853,NY17
F000325,Orin,Fowler,M,rep,1849-12-03,1853-03-03,MA,Whig,9,1849,1853,MA9
F000363,John,Freeman,M,rep,1851-12-01,1853-03-03,MS,Unionist,3,1851,1853,MS3
G000108,James,Gaylord,M,rep,1851-12-01,1853-03-03,OH,Democrat,13,1851,1853,OH13
G000125,Meredith,Gentry,M,rep,1839-12-02,1853-03-03,TN,Whig,8,1839,1853,TN8
G000220,Alfred,Gilmore,M,rep,1849-12-03,1853-03-03,PA,Democrat,24,1849,1853,PA24
G000284,Robert,Goodenow,M,rep,1851-12-01,1853-03-03,ME,Whig,3,1851,1853,ME3
G000330,Willis,Gorman,M,rep,1849-12-03,1853-03-03,IN,Democrat,6,1849,1853,IN6
H000077,Willard,Hall,M,rep,1847-12-06,1853-03-03,MO,Democrat,4,1847,1853,MO4
H000126,Edward,Hammond,M,rep,1849-12-03,1853-03-03,MD,Democrat,3,1849,1853,MD3
H000219,Alexander,Harper,M,rep,1837-09-04,1853-03-03,OH,Whig,12,1837,1853,OH12
H000286,Emanuel,Hart,M,rep,1851-12-01,1853-03-03,NY,Democrat,3,1851,1853,NY3
H000315,Augustus,Hascall,M,rep,1851-12-01,1853-03-03,NY,Whig,33,1851,1853,NY33
H000380,John,Haws,M,rep,1851-12-01,1853-03-03,NY,Whig,4,1851,1853,NY4
H000435,William,Hebard,M,rep,1849-12-03,1853-03-03,VT,Whig,2,1849,1853,VT2
H000714,Alexander,Holladay,M,rep,1849-12-03,1853-03-03,VA,Democrat,8,1849,1853,VA8
H000796,Jerediah,Horsford,M,rep,1851-12-01,1853-03-03,NY,Whig,29,1851,1853,NY29
H000845,Volney,Howard,M,rep,1849-12-03,1853-03-03,TX,Democrat,2,1849,1853,TX2
H000853,John,Howe,M,rep,1849-12-03,1853-03-03,PA,Free Soil,22,1849,1853,PA22
H000855,Thomas,Howe,M,rep,1851-12-01,1853-03-03,NY,Democrat,25,1851,1853,NY25
H000992,William,Hunter,M,rep,1849-12-03,1853-03-03,OH,Whig,15,1849,1853,OH15
I000051,Willard,Ives,M,rep,1851-12-01,1853-03-03,NY,Democrat,19,1851,1853,NY19
J000023,Joseph,Jackson,M,rep,1849-12-03,1853-03-03,GA,Democrat,1,1849,1853,GA1
J000089,Timothy,Jenkins,M,rep,1845-12-01,1853-03-03,NY,Democrat,20,1845,1853,NY20
J000144,James,Johnson,M,rep,1851-12-01,1853-03-03,GA,Unionist,2,1851,1853,GA2
J000153,John,Johnson,M,rep,1851-12-01,1853-03-03,OH,Ind. Democrat,16,1851,1853,OH16
K000201,George,King,M,rep,1849-12-03,1853-03-03,RI,Whig,1,1849,1853,RI1
K000337,Joseph,Kuhns,M,rep,1851-12-01,1853-03-03,PA,Whig,19,1851,1853,PA19
L000055,Joseph,Landry,M,rep,1851-12-01,1853-03-03,LA,Whig,2,1851,1853,LA2
L000350,Edward,Little,M,rep,1851-12-01,1853-03-03,MA,Democrat,9,1851,1853,MA9
M000102,Horace,Mann,M,rep,1847-12-06,1853-03-03,MA,Whig,8,1847,1853,MA8
M000151,Edward,Marshall,M,rep,1851-12-01,1853-03-03,CA,Democrat,-1,1851,1853,CA-1
M000180,Frederick,Martin,M,rep,1851-12-01,1853-03-03,NY,Whig,31,1851,1853,NY31
M000362,Joseph,McCorkle,M,rep,1851-12-01,1853-03-03,CA,Democrat,-1,1851,1853,CA-1
M000534,James,McLanahan,M,rep,1849-12-03,1853-03-03,PA,Democrat,16,1849,1853,PA16
M000618,Richard,Meade,M,rep,1847-12-06,1853-03-03,VA,Democrat,2,1847,1853,VA2
M000790,Ahiman,Miner,M,rep,1851-12-01,1853-03-03,VT,Whig,1,1851,1853,VT1
M000846,Richard,Molony,M,rep,1851-12-01,1853-03-03,IL,Democrat,4,1851,1853,IL4
M000900,Henry,Moore,M,rep,1849-12-03,1853-03-03,PA,Whig,3,1849,1853,PA3
M000903,John,Moore,M,rep,1839-12-02,1853-03-03,LA,Whig,3,1839,1853,LA3
M000937,James,Morehead,M,rep,1851-12-01,1853-03-03,NC,Whig,4,1851,1853,NC4
M000997,John,Morrison,M,rep,1851-12-01,1853-03-03,PA,Democrat,7,1851,1853,PA7
M001086,Charles,Murphey,M,rep,1851-12-01,1853-03-03,GA,Unionist,4,1851,1853,GA4
N000001,Benjamin,Nabers,M,rep,1851-12-01,1853-03-03,MS,Unionist,1,1851,1853,MS1
N000076,Eben,Newton,M,rep,1851-12-01,1853-03-03,OH,Whig,19,1851,1853,OH19
O000138,David,Outlaw,M,rep,1847-12-06,1853-03-03,NC,Whig,9,1847,1853,NC9
P000055,Andrew,Parker,M,rep,1851-12-01,1853-03-03,PA,Democrat,17,1851,1853,PA17
P000173,Charles,Peaslee,M,rep,1847-12-06,1853-03-03,NH,Democrat,2,1847,1853,NH2
P000210,Alexander,Penn,M,rep,1849-12-03,1853-03-03,LA,Democrat,3,1849,1853,LA3
P000212,Ebenezer,Penniman,M,rep,1851-12-01,1853-03-03,MI,Whig,1,1851,1853,MI1
P000235,Jared,Perkins,M,rep,1851-12-01,1853-03-03,NH,Whig,3,1851,1853,NH3
P000412,William,Polk,M,rep,1851-12-01,1853-03-03,TN,Ind. Democrat,6,1851,1853,TN6
P000529,Rodman,Price,M,rep,1851-12-01,1853-03-03,NJ,Democrat,5,1851,1853,NJ5
R000117,Isaac,Reed,M,rep,1851-12-01,1853-03-03,ME,Whig,4,1851,1853,ME4
R000331,Reuben,Robie,M,rep,1851-12-01,1853-03-03,NY,Democrat,30,1851,1853,NY30
R000343,John,Robinson,M,rep,1847-12-06,1853-03-03,IN,Democrat,3,1847,1853,IN3
R000455,Thomas,Ross,M,rep,1849-12-03,1853-03-03,PA,Democrat,6,1849,1853,PA6
R000532,Joseph,Russell,M,rep,1845-12-01,1853-03-03,NY,Democrat,15,1845,1853,NY15
S000004,Lorenzo,Sabine,M,rep,1851-12-01,1853-03-03,MA,Whig,4,1851,1853,MA4
S000007,William,Sackett,M,rep,1849-12-03,1853-03-03,NY,Whig,27,1849,1853,NY27
S000122,Abraham,Schermerhorn,M,rep,1849-12-03,1853-03-03,NY,Whig,28,1849,1853,NY28
S000139,John,Schoolcraft,M,rep,1849-12-03,1853-03-03,NY,Whig,13,1849,1853,NY13
S000141,Marius,Schoonmaker,M,rep,1851-12-01,1853-03-03,NY,Whig,10,1851,1853,NY10
S000207,Richardson,Scurry,M,rep,1851-12-01,1853-03-03,TX,Democrat,1,1851,1853,TX1
S000265,David,Seymour,M,rep,1843-12-04,1853-03-03,NY,Democrat,12,1843,1853,NY12
S000503,Ephraim,Smart,M,rep,1847-12-06,1853-03-03,ME,Democrat,5,1847,1853,ME5
S000661,William,Snow,M,rep,1851-12-01,1853-03-03,NY,Democrat,21,1851,1853,NY21
S000799,Edward,Stanly,M,rep,1837-09-04,1853-03-03,NC,Whig,3,1837,1853,NC3
S000853,Abraham,Stephens,M,rep,1851-12-01,1853-03-03,NY,Democrat,7,1851,1853,NY7
S000958,James,Stone,M,rep,1843-12-04,1853-03-03,KY,Democrat,5,1843,1853,KY5
S001025,James,Strother,M,rep,1851-12-01,1853-03-03,VA,Whig,9,1851,1853,VA9
S001084,Josiah,Sutherland,M,rep,1851-12-01,1853-03-03,NY,Democrat,11,1851,1853,NY11
S001111,Charles,Sweetser,M,rep,1849-12-03,1853-03-03,OH,Democrat,10,1849,1853,OH10
T000192,Benjamin,Thompson,M,rep,1845-12-01,1853-03-03,MA,Whig,4,1845,1853,MA4
T000201,George,Thompson,M,rep,1851-12-01,1853-03-03,VA,Democrat,15,1851,1853,VA15
T000338,Norton,Townshend,M,rep,1851-12-01,1853-03-03,OH,Democrat,21,1851,1853,OH21
T000394,Amos,Tuck,M,rep,1847-12-06,1853-03-03,NH,Independent,1,1847,1853,NH1
V000084,Abraham,Venable,M,rep,1847-12-06,1853-03-03,NC,Democrat,5,1847,1853,NC5
W000030,Henry,Walbridge,M,rep,1851-12-01,1853-03-03,NY,Whig,26,1851,1853,NY26
W000075,Daniel,Wallace,M,rep,1847-12-06,1853-03-03,SC,Democrat,1,1847,1853,SC1
W000105,Thomas,Walsh,M,rep,1851-12-01,1853-03-03,MD,Whig,4,1851,1853,MD4
W000145,William,Ward,M,rep,1851-12-01,1853-03-03,KY,Whig,4,1851,1853,KY4
W000255,Richard,Weightman,M,rep,1851-12-01,1853-03-03,NM,Democrat,-1,1851,1853,NM-1
W000263,John,Welch,M,rep,1851-12-01,1853-03-03,OH,Whig,12,1851,1853,OH12
W000284,John,Wells,M,rep,1851-12-01,1853-03-03,NY,Whig,16,1851,1853,NY16
W000350,Addison,White,M,rep,1851-12-01,1853-03-03,KY,Whig,6,1851,1853,KY6
W000457,John,Wilcox,M,rep,1851-12-01,1853-03-03,MS,Unionist,2,1851,1853,MS2
W000464,Isaac,Wildrick,M,rep,1849-12-03,1853-03-03,NJ,Democrat,3,1849,1853,NJ3
W000493,Christopher,Williams,M,rep,1837-09-04,1853-03-03,TN,Whig,13,1837,1853,TN13
W000732,Joseph,Woodward,M,rep,1843-12-04,1853-03-03,SC,Democrat,3,1843,1853,SC3
A000048,Stephen,Adams,M,rep,1845-12-01,1857-03-03,MS,Democrat,-1,1845,1857,MS-1
C000250,Charles,Cathcart,M,rep,1845-12-01,1853-12-31,IN,Democrat,9,1845,1853,IN9
T000319,Isaac,Toucey,M,rep,1835-12-07,1857-03-03,CT,Jackson,-1,1835,1857,CT-1
W000274,John,Weller,M,rep,1839-12-02,1857-03-03,OH,Democrat,2,1839,1857,OH2
P000333,Franklin,Pierce,M,rep,1833-12-02,1843-03-03,NH,Jackson,-1,1833,1843,NH-1
A000012,James,Abercrombie,M,rep,1851-12-01,1855-03-03,AL,Whig,2,1851,1855,AL2
A000154,Willis,Allen,M,rep,1851-12-01,1855-03-03,IL,Democrat,2,1851,1855,IL2
A000310,William,Ashe,M,rep,1849-12-03,1855-03-03,NC,Democrat,7,1849,1855,NC7
A000323,Charles,Atherton,M,rep,1837-09-04,1853-12-31,NH,Democrat,-1,1837,1853,NH-1
B000036,David,Bailey,M,rep,1851-12-01,1855-03-03,GA,States Rights,3,1851,1855,GA3
B000193,William,Barry,M,rep,1853-12-05,1855-03-03,MS,Democrat,2,1853,1855,MS2
B000322,Nathan,Belcher,M,rep,1853-12-05,1855-03-03,CT,Democrat,3,1853,1855,CT3
B000340,John,Bell,M,rep,1827-12-03,1859-03-03,TN,Jackson,7,1827,1859,TN7
B000492,William,Bissell,M,rep,1849-12-03,1855-03-03,IL,Democrat,1,1849,1855,IL1
B000624,Azariah,Boody,M,rep,1853-12-05,1855-03-03,NY,Whig,29,1853,1855,NY29
B000719,Linn,Boyd,M,rep,1835-12-07,1855-03-03,KY,Jackson,1,1835,1855,KY1
B001043,Robert,Bugg,M,rep,1853-12-05,1855-03-03,TN,Whig,7,1853,1855,TN7
C000078,Brookins,Campbell,M,rep,1853-12-05,1855-03-03,TN,Democrat,1,1853,1855,TN1
C000167,Davis,Carpenter,M,rep,1853-12-05,1855-03-03,NY,Whig,29,1853,1855,NY29
C000276,Ebenezer,Chamberlain,M,rep,1853-12-05,1855-03-03,IN,Democrat,10,1853,1855,IN10
C000292,Joseph,Chandler,M,rep,1849-12-03,1855-03-03,PA,Whig,2,1849,1855,PA2
C000326,George,Chase,M,rep,1853-12-05,1855-03-03,NY,Whig,19,1853,1855,NY19
C000335,Elijah,Chastain,M,rep,1851-12-01,1855-03-03,GA,Democrat,5,1851,1855,GA5
C000376,James,Chrisman,M,rep,1853-12-05,1855-03-03,KY,Democrat,4,1853,1855,KY4
C000393,William,Churchwell,M,rep,1851-12-01,1855-03-03,TN,Democrat,3,1851,1855,TN3
C000451,Samuel,Clark,M,rep,1833-12-02,1855-03-03,NY,Jackson,25,1833,1855,NY25
C000720,John,Cook,M,rep,1853-12-05,1855-03-03,IA,Whig,2,1853,1855,IA2
C000790,Moses,Corwin,M,rep,1849-12-03,1855-03-03,OH,Whig,4,1849,1855,OH4
C000917,Samuel,Crocker,M,rep,1853-12-05,1855-03-03,MA,Whig,2,1853,1855,MA2
C000974,William,Cullom,M,rep,1851-12-01,1855-03-03,TN,Whig,8,1851,1855,TN8
C000981,Thomas,Cumming,M,rep,1853-12-05,1855-03-03,NY,Democrat,2,1853,1855,NY2
